_id,articleId,customerName,isCategory,nGramCnt,origCount,origSentence,scores.betweeness,scores.closeness,scores.degree,scores.fromBegScore,scores.isInTag-a,scores.isInTag-b,scores.isInTag-h1,scores.isInTag-h2,scores.isInTag-h3,scores.isInTag-h4,scores.isInTag-h5,scores.isInTag-h6,scores.isInTag-i,scores.isInTag-strong,scores.isInTitle,scores.load,scores.originalPhrase,scores.relDocsRatio,scores.relTermsRatio,scores.relVsIrrelDocs,scores.relVsIrrelTerms,scores.relevance,stem,stemCount,termOccurrence
5ac21b66fffa7600087418f6,109790,MIT_AthleticTrainers,0,2,,Head Coach,0.347310794,2.377348238,1.548672566,0.662438337,,,,,,,,,,,,0.347310794,Head Coach,0.393497758,0.327344189,0.648798521,0.486644407,0.309237,head coach,,2
5ac21b67fffa7600087418f7,109790,MIT_AthleticTrainers,0,2,,Kelly Sheffield,,,1.548672566,0.212121212,,,,,,,,,,,,,Kelly Sheffield,1,1,1,1,0.286234,kelli sheffield,,2
5ac21b67fffa7600087418f8,109790,MIT_AthleticTrainers,0,1,,MPH,0.241351569,,,0.397815363,,,,,,,,,,,,0.241351569,MPH,0.428571429,0.434466019,0.75,0.768240343,0.239319,mph,,2
5ac21b67fffa7600087418f9,109790,MIT_AthleticTrainers,0,2,,National Championship,0.347310794,2.377348238,1.548672566,0.841789993,,,,,,,,,,,,0.347310794,National Championships,0.406593407,0.385542169,0.685185185,0.62745098,0.30201,nation championship,,2
5ac21b67fffa7600087418fa,109790,MIT_AthleticTrainers,0,2,,Revolutionary Radar,,,,0,,,,,,,,,,,1,,,,,,,0.519455,revolutionari radar,,2
5ac21b67fffa7600087418fb,109790,MIT_AthleticTrainers,0,2,,Russ Rose,0.347310794,2.377348238,1.548672566,0.666314306,,,,,,,,,,,,0.347310794,Russ Rose,1,1,1,1,0.300346,russ rose,,2
5ac21b67fffa7600087418fc,109790,MIT_AthleticTrainers,0,1,,applications,,,1.10619469,0.884778013,,,,,,,,,,,,,applications,0.495294118,0.504632489,0.981351981,1.018703242,0.217698,applic,,2
5ac21b68fffa7600087418fd,109790,MIT_AthleticTrainers,0,1,,coaches,0.212899555,,,0.831219168,,,,,,,,,,,,0.212899555,coach,0.507124504,0.453192243,1.028909953,0.828796296,0.234371,coach,,2
5ac21b68fffa7600087418fe,109790,MIT_AthleticTrainers,0,1,,contact,0.208975139,2.501301406,,0.494362227,,,,,,,,,,,,0.208975139,contact,0.574235808,0.615991395,1.348717949,1.60410831,0.21625,contact,,2
5ac21b68fffa7600087418ff,109790,MIT_AthleticTrainers,0,1,,inches,0.251162608,2.550754815,1.548672566,0.321353066,,,,,,,,,,,,0.251162608,inches,0.324840764,0.324766355,0.481132075,0.480968858,0.258027,inch,,2
5ac21b68fffa760008741900,109790,MIT_AthleticTrainers,0,2,,info text,,,,0.012332629,,,,,,,,,,,,,,0.666666667,0.777777778,2,3.5,0.29464,info text,,2
5ac21b69fffa760008741901,109790,MIT_AthleticTrainers,0,1,,opposition,0.208975139,2.490114856,1.769911504,0.755109232,,,,,,,,,,,,0.208975139,opposition,0.405633803,0.397228637,0.682464455,0.659003831,0.218188,opposit,,2
5ac21b69fffa760008741902,109790,MIT_AthleticTrainers,0,1,,ounces,,,,0.300211416,,,,,,,,,,,,,,0.247311828,0.228021978,0.328571429,0.295373665,0.221073,ounc,,2
